Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24
0 America;1024461276;38395075;63972;6.2444527186;;1;1;2;2;6;6;7;7;7;11;12;12;15;15;16;16;18;18;18;18;19;19;20;20;20;20;21;21;21;21;24;24;24;61;62;69;72;76;94;112;139;165;207;285;357;515;671;760;1161;1561;1991;2760;3422;4343;5918;8137;9976;16624;22998;30673;40150;52385;63972
00 N. America;372101241;18250341;56588;15.2076891353;;1;1;2;2;6;6;7;7;7;11;12;12;15;15;16;16;18;18;18;18;19;19;20;20;20;20;21;21;21;21;24;24;24;61;62;68;71;74;88;98;125;148;182;254;311;456;582;660;1038;1389;1780;2370;2923;3749;5053;6901;8444;14485;20061;26792;34782;45982;56588
01 M. America;179670200;2452270;948;0.5276334083;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;5;5;5;5;7;7;12;16;17;31;47;64;91;115;151;206;244;319;428;566;748;875;948
03 Caribbean;40560546;215472;658;1.6222661302;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;4;5;7;10;10;10;12;16;28;45;50;65;98;118;160;229;327;471;562;658
04 S. America;432129289;17476992;5778;1.3370998326;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;8;11;16;22;34;45;67;74;96;129;148;298;363;429;649;932;1170;1660;2280;2988;4149;4966;5778
1 Europe;609891552;21312221.4400000013;186937;30.6508590563;;0;0;0;0;0;1;4;5;5;11;15;17;19;20;20;20;22;22;24;24;26;26;26;26;26;26;26;26;26;26;43;85;178;252;354;510;751;1016;1340;2033;2495;3098;3958;5237;6675;8473;10761;13359;15957;20268;20831;33038;40063;48379;56553;66200;77691;94084;111420;130107;146731;167326;186937
11 N. Europe;21451759;1181143;6711;31.2841478407;;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;10;16;31;42;52;70;124;228;268;374;454;543;866;1244;1465;2102;2441;2669;2911;3241;3473;3987;4492;4969;5628;6073;6711
12 W. Europe;136029709;606885;60513;44.4851352288;;0;0;0;0;0;1;4;4;4;5;8;10;12;13;13;13;14;14;15;15;17;17;17;17;17;17;17;17;17;17;17;17;17;17;21;31;59;61;115;185;247;313;450;777;1197;1524;1969;2266;2820;3676;3914;6808;8433;11071;13217;16613;21067;26594;33991;39573;45312;52917;60513
13 S. Europe;129670199;1023531.4399999999;112793;86.9845198587;;0;0;0;0;0;0;0;0;0;2;3;3;3;3;3;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;22;64;157;231;328;467;674;925;1179;1787;2175;2688;3344;4180;5119;6479;8194;10393;12037;14975;14983;23305;28074;33274;38767;44332;50750;60511;69318;81173;90642;102400;112793
14 E. Europe;322739885;18500662;6920;2.1441415585;;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;7;8;14;15;19;21;27;40;52;91;96;144;157;234;373;469;823;1115;1365;1658;2014;2401;2992;3619;4392;5149;5936;6920
2 Asia Pacific;4192529278;31181951;101100;2.411432176;;554;653;937;1429;2109;2917;5563;6145;8213;9894;11999;16745;19834;23844;27586;30745;34276;36998;40023;42558;44595;44973;60119;66592;68669;70792;72726;74516;74938;75480;76067;77764;77985;78449;79122;79846;80811;81728;83011;84205;85037;86052;86702;87371;88150;88752;89190;89463;89688;90150;90306;90760;91215;91806;92353;93065;93761;94728;95572;96981;98619;99710;101100
21 C. Asia;75861692;3497518;570;0.75136737;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;7;7;7;7;11;11;14;23;25;27;36;39;52;69;92;129;183;203;269;311;372;430;492;570
22 India Region;1817448317;4118717;1666;0.0916669808;;0;0;0;1;1;2;2;2;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;7;7;7;9;9;11;12;35;37;40;43;55;59;84;96;108;130;158;204;306;447;535;740;854;1178;1297;1521;1666
23 China;1439323776;9388211;81591;5.6687036899;;548;643;920;1406;2075;2877;5509;6087;8141;9802;11891;16630;19716;23707;27440;30587;34110;36814;39829;42354;44386;44759;59895;66358;68413;70513;72434;74211;74619;75077;75550;77001;77022;77241;77754;78166;78600;78928;79356;79932;80136;80261;80386;80537;80690;80770;80823;80860;80887;80921;80932;80945;80977;81003;81033;81058;81102;81156;81250;81305;81435;81498;81591
24 N.E. Asia;177745646;461785;10230;5.7554152409;;3;3;4;4;7;8;11;11;15;26;32;35;35;38;41;45;49;49;51;53;54;56;56;57;71;88;96;105;115;198;309;555;749;992;1147;1450;1980;2565;3391;3992;4609;5479;5952;6448;7013;7502;7816;7989;8094;8394;8508;8680;8859;9001;9075;9198;9302;9489;9615;9806;10062;10089;10230
25 S.E. Asia;650252129;5729240;4805;0.7389441396;;3;7;13;18;22;25;36;39;45;54;61;64;66;81;87;94;97;115;123;131;135;138;148;157;165;171;176;180;184;185;188;188;194;196;201;207;208;211;228;237;243;253;267;280;332;355;392;434;484;570;586;745;893;1198;1422;1712;2028;2356;2698;3177;3720;4297;4805
26 AU / NZ;30322117;7945610;2199;7.2521321648;;0;0;0;0;4;5;5;6;9;9;12;12;12;13;13;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;16;26;28;31;40;55;58;64;68;81;96;112;133;133;205;256;305;385;464;588;709;830;1123;1651;1784;2199
27 Pacific Ocean;1575601;40870;39;2.4752459538;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;9;14;20;24;29;39
3 ME/Africa;1601709154;31139798;34054;2.1261038507;;0;0;0;0;0;0;0;4;4;4;4;5;5;5;5;5;5;7;7;8;8;8;8;9;9;10;10;10;12;15;30;44;59;83;150;227;353;509;735;1144;1695;2558;3167;3781;5067;6207;7043;7663;8662;10011;11167;12683;14260;15715;16959;18466;20048;21856;23631;25450;27820;30518;34054
31 MENA;551117644;12101010;32634;5.9214217428;;0;0;0;0;0;0;0;4;4;4;4;5;5;5;5;5;5;7;7;8;8;8;8;9;9;10;10;10;12;15;30;44;59;83;150;227;353;508;734;1143;1693;2555;3162;3775;5059;6199;7032;7651;8645;9984;11136;12630;14181;15599;16803;18291;19784;21509;23140;24821;27032;29442;32634
32 SSa Africa;1050591510;19038788;1420;0.1351619527;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;5;6;8;8;11;12;17;27;31;53;79;116;156;175;264;347;491;629;788;1076;1420
Afghanistan;38928346;652860;74;0.1900928439;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;5;7;7;7;11;16;21;22;22;22;24;24;40;40;74
Albania;2877797;27400;123;4.2741027251;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;12;23;33;38;42;51;55;59;64;70;76;89;104;123
Algeria;43851044;2381740;264;0.602038118;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;5;12;12;17;17;19;20;20;20;24;26;37;48;54;60;74;87;90;139;201;230;264
American Samoa;55191;200;0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;0.0
Andorra;77265;470;164;212.2565197696;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;39;39;53;75;88;113;133;164
Angola;32866272;1246700;3;0.0091278987;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;3
Antigua and Barbuda;97929;440;3;3.0634439237;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;3;3
Argentina;45195774;2736690;387;0.8562747482;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;12;12;17;19;19;31;34;45;56;68;79;97;128;158;266;301;387
Armenia;2963243;28470;249;8.4029558156;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;4;8;18;26;52;78;84;115;136;160;194;235;249
Australia;25499884;7682300;2044;8.0157227382;;0;0;0;0;4;5;5;6;9;9;12;12;12;13;13;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;25;27;30;39;52;55;60;63;76;91;107;128;128;200;250;297;377;452;568;681;791;1071;1549;1682;2044
Australia Australian Capital Territory;426709;2358;39;9.1397181686;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;4;6;9;19;32;39
Australia New South Wales;8089526;809952;818;10.1118409163;;0;0;0;0;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;13;22;22;26;28;38;48;55;65;65;92;112;134;171;210;267;307;353;436;669;669;818
Australia Northern Territory;245869;1419630;6;2.4403239123;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;3;3;5;5;6
Australia Queensland;5095100;1851736;397;7.7917999647;;0;0;0;0;0;0;0;1;3;2;3;2;2;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;9;9;9;11;11;13;13;13;15;15;18;20;20;35;46;61;68;78;94;144;184;221;259;319;397
Australia South Australia;1751693;1044353;170;9.7048969197;;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;5;7;7;7;7;7;9;9;16;19;20;29;29;37;42;50;67;100;134;170
Australia Tasmania;534281;90758;28;5.2406879526;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;3;3;5;5;6;7;7;10;10;10;16;22;28;28
Australia Victoria;6594804;237657;411;6.232179152;;0;0;0;0;1;1;1;1;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;7;7;9;9;10;10;10;11;11;15;18;21;21;36;49;57;71;94;121;121;121;229;355;355;411
Australia Western Australia;2621680;2642753;175;6.6751090904;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;3;3;3;3;4;6;9;9;14;17;17;28;31;35;52;64;90;120;140;175
Austria;9006398;82409;5283;58.658300466;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;9;14;18;21;29;41;55;79;104;131;182;246;302;504;655;860;1018;1332;1646;2013;2388;2814;3582;4474;5283
Azerbaijan;10139177;82658;87;0.8580578088;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;6;6;9;9;9;11;11;11;15;15;23;28;28;28;44;44;53;65;72;87
Bahamas;393244;10010;5;1.2714752164;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;4;4;4;5
Bahrain;1701575;760;392;23.0374799818;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23;33;33;36;41;47;49;49;52;55;60;85;85;95;110;195;195;195;210;214;214;228;256;278;285;305;334;377;392
Bangladesh;164689383;130170;39;0.0236809437;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;5;8;10;14;17;20;25;27;33;39
Barbados;287375;430;18;6.2635928665;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;5;5;6;14;17;18
Belarus;9449323;202910;81;0.8572042674;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;6;6;6;6;6;6;9;9;12;27;27;27;36;36;51;51;69;76;76;81;81
Belgium;11589623;30280;4269;36.8346752953;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;8;13;23;50;109;169;200;239;267;314;314;559;689;886;1058;1243;1486;1795;2257;2815;3401;3743;4269
Belize;397628;22810;1;0.2514913437;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Benin;12123200;112760;6;0.0494918833;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;5;6
Bermuda;62278;50;6;9.6342207521;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;6;6
Bhutan;771608;38117;2;0.2591989715;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2
Bolivia;11673021;1083300;29;0.2484361161;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;10;10;11;11;12;12;15;19;24;27;29
Bosnia and Herzegovina;3280819;51000;166;5.0597122243;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;3;5;7;11;13;18;24;25;26;38;63;89;93;126;136;166
Brazil;212559417;8358140;2247;1.0571161851;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;4;4;13;13;20;25;31;38;52;151;151;162;200;321;372;621;793;1021;1546;1924;2247
Brunei;437479;5270;104;23.7725696548;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;11;37;40;50;54;56;68;75;78;83;88;91;104
Bulgaria;6948445;108560;218;3.1373926109;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;7;7;23;41;51;52;67;92;94;127;163;187;201;218
Burkina Faso;20903273;273600;114;0.5453691391;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;3;15;15;20;33;40;64;75;99;114
Cambodia;16718965;176520;91;0.5442920659;;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;5;7;7;7;33;35;37;51;53;84;87;91
Cameroon;26545863;472710;66;0.2486263114;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;4;10;10;13;20;27;40;56;66
Canada;37742154;9093510;2777;7.357820648;;0;0;0;0;1;1;2;2;2;4;4;4;4;4;5;5;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;9;10;11;11;13;14;20;24;27;30;33;37;49;54;64;77;79;108;117;191;196;250;413;470;648;791;933;1267;1456;2075;2777
Canada Alberta;4067175;640330.46;359;8.8267655068;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;7;7;19;19;29;29;39;56;74;97;119;146;195;259;301;359
Canada British Columbia;4648055;922503.01;617;13.2743696019;;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;4;4;4;4;4;4;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;9;12;13;21;21;27;32;32;39;46;64;64;73;103;103;186;231;271;424;424;472;617
Canada Manitoba;1278365;552370.99;21;1.6427233224;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;7;8;15;17;17;18;20;20;21
Canada New Brunswick;747101;71388.81;18;2.4093127971;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;6;8;11;11;11;17;17;17;18
Canada Newfoundland and Labrador;519716;370514.08;35;6.7344472751;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;3;4;6;9;24;35
Canada Nova Scotia;923598;52942.27;51;5.5218828971;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;12;14;15;21;28;41;51
Canada Ontario;13448494;908699.33;588;4.3722367724;;0;0;0;0;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;6;6;11;15;18;20;20;22;25;28;29;34;36;41;42;74;79;104;177;185;221;257;308;377;425;503;588
Canada Prince Edward Island;142907;5686.03;3;2.0992673557;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;3;3;3
Canada Quebec;8164361;1356625.27;1013;12.407584623;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;3;4;4;4;8;9;17;17;24;50;74;94;121;139;181;219;628;1013
Canada Recovered;Not defined;Not defined;0;0;Missing Country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canada Saskatchewan;1098352;588243.54;72;6.5552755401;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;7;7;8;16;20;26;52;66;72
Cape Verde;555987;4030;3;0.5395809614;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;3
Central African Republic;4829767;622980;3;0.0621147977;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;3;3;3;3
Chad;16425864;1259200;3;0.0182638795;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3
Channel Islands;173863;190;36;20.7059581395;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;3;6;6;6;11;14;32;32;36;36
Chile;19116201;743532;922;4.8231340526;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;4;4;8;8;13;23;23;43;61;74;155;201;238;238;434;537;632;746;922
China;1439323776;9388211;81591;5.6687036899;;548;643;920;1406;2075;2877;5509;6087;8141;9802;11891;16630;19716;23707;27440;30587;34110;36814;39829;42354;44386;44759;59895;66358;68413;70513;72434;74211;74619;75077;75550;77001;77022;77241;77754;78166;78600;78928;79356;79932;80136;80261;80386;80537;80690;80770;80823;80860;80887;80921;80932;80945;80977;81003;81033;81058;81102;81156;81250;81305;81435;81498;81591
China Anhui;59500510;139700;990;1.6638512846;;1;9;15;39;60;70;106;152;200;237;297;340;408;480;530;591;665;733;779;830;860;889;910;934;950;962;973;982;986;987;988;989;989;989;989;989;989;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990
