Country/Region;Population;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18
US;331002651;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;297.3333333333;702;1234;1640.6666666667;2122.6666666667;2734.6666666667;3552.3333333333;4783.3333333333;7715
US Alabama;4903185;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6666666667;3.6666666667;7.6666666667;15.6666666667;26.6666666667;46
US Alaska;731545;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;0.6666666667;1;1;1.6666666667;6
US Arizona;7278717;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;8;9;10;11.3333333333;14.3333333333;17;27
US Arkansas;3017804;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;2.3333333333;4.3333333333;8;11.3333333333;16.6666666667;20;33
US California;39512223;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;107;180.6666666667;226.6666666667;281;349.3333333333;441;560.3333333333;751
US Colorado;5758736;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;16.3333333333;31.3333333333;42.6666666667;65;93.6666666667;130.6666666667;150.3333333333;184
US Connecticut;3565287;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6666666667;1.6666666667;3.3333333333;6.3333333333;12.6666666667;19;25.3333333333;40.6666666667;68
US Delaware;973764;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;0.6666666667;2;3.6666666667;5.6666666667;7;10.3333333333;19
US District of Columbia;705749;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6666666667;5;8.3333333333;10;10;12;16;20;31
US Florida;21477737;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;14.3333333333;26;37.6666666667;53.6666666667;80.3333333333;115.3333333333;162;314
US Georgia;10617423;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.6666666667;13.3333333333;23.6666666667;32;46.3333333333;69;95.3333333333;122;199
US Guam;162742;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;5
US Hawaii;1415872;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6666666667;1.3333333333;2;2;2.6666666667;4;5.6666666667;7.6666666667;14
US Idaho;1787065;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;1;2.6666666667;4;6;9
US Illinois;12671821;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12.3333333333;23;34.3333333333;47.3333333333;67.6666666667;87.3333333333;119.6666666667;162
US Indiana;6732219;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5.6666666667;10;12.3333333333;14;16.3333333333;20.3333333333;25;39
US Iowa;3155070;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6666666667;7;12.3333333333;15.3333333333;16.6666666667;17.3333333333;19.3333333333;21.3333333333;29
US Kansas;2913314;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;0.6666666667;1;2.3333333333;4.6666666667;7;9;12.3333333333;18
US Kentucky;4467673;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4.6666666667;8;10.6666666667;12.6666666667;16;18.3333333333;22.3333333333;27
US Louisiana;4648794;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;2.3333333333;8.6666666667;20.3333333333;44;68;101.3333333333;141;257
US Maine;1344212;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;1.3333333333;5.3333333333;10.6666666667;20.3333333333;42
US Maryland;6045680;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6666666667;5.6666666667;9.6666666667;13;18.6666666667;25.3333333333;33;44.3333333333;85
US Massachusetts;6892503;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.6666666667;62.3333333333;98.3333333333;108.6666666667;123;141.6666666667;166.3333333333;193;218
US Michigan;9986857;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6666666667;1.3333333333;6.6666666667;14.3333333333;24.6666666667;37;50.3333333333;83
US Minnesota;5639632;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.6666666667;5.6666666667;9.3333333333;14.6666666667;23.3333333333;36.6666666667;49.6666666667;77
US Mississippi;2976149;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;0.6666666667;2.6666666667;5.6666666667;9.6666666667;14.6666666667;34
US Missouri;6137428;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;0.6666666667;1;1.3333333333;2.3333333333;3.6666666667;5;7.3333333333;18
US Montana;1068778;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;0.6666666667;1;2.3333333333;4.3333333333;6.3333333333;7.6666666667;11
US Nebraska;1934408;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.6666666667;6;9.3333333333;12.3333333333;14.6666666667;16.3333333333;18.6666666667;24
US Nevada;3080156;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3333333333;3.6666666667;8.3333333333;12.6666666667;17.3333333333;20.6666666667;30;41.6666666667;55
US New Hampshire;1359711;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3333333333;3;5;5.6666666667;6.3333333333;8.6666666667;12.3333333333;18.6666666667;26
US New Jersey;8882190;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;12.6666666667;22.3333333333;27;42.3333333333;65.3333333333;115;181;267
US New Mexico;2096829;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.6666666667;6;8.3333333333;11;13.3333333333;17.6666666667;23
US New York;19453561;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.6666666667;131;240.3333333333;323;424.6666666667;559.3333333333;741.3333333333;1135;2495
US North Carolina;10488084;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.3333333333;4.6666666667;9.6666666667;13;18.6666666667;24.6666666667;31.6666666667;45;70
US North Dakota;762062;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;0.6666666667;1;1;1;1.6666666667;6
US Ohio;11689100;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.3333333333;4;7.3333333333;14.6666666667;25.3333333333;37.6666666667;51.3333333333;86
US Oklahoma;3956971;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6666666667;1.3333333333;2;2;2.6666666667;4.3333333333;7;12;19
US Oregon;4217737;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;11.3333333333;19.3333333333;24.3333333333;28.6666666667;32.6666666667;35.6666666667;47;68
US Pennsylvania;12801989;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9.3333333333;16.6666666667;26.3333333333;36.6666666667;51.3333333333;63.3333333333;85;152
US Puerto Rico;3193694;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.6666666667;4.3333333333;5;5
US Rhode Island;1059361;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.6666666667;4.3333333333;8;13;18;20.3333333333;21.3333333333;33
US South Carolina;5148714;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.3333333333;5.6666666667;9.6666666667;11.6666666667;14.6666666667;20;26.6666666667;36;47
US South Dakota;884659;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6666666667;5.3333333333;8;8.3333333333;8.6666666667;9.3333333333;10;11
US Tennessee;6829174;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.3333333333;5.3333333333;11.3333333333;17.6666666667;25.3333333333;32.3333333333;41;55;79
US Texas;28995881;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.3333333333;11.3333333333;20.3333333333;30.3333333333;42.3333333333;57.3333333333;71.3333333333;89;173
US Utah;3205958;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6666666667;1.6666666667;3.3333333333;5.6666666667;8;15.6666666667;25.6666666667;39.3333333333;51
US Vermont;623989;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;0.6666666667;1.3333333333;1.6666666667;3;5;8.3333333333;10.6666666667;18
US Virgin Islands;104425;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;0.6666666667;1;1.3333333333;2
US Virginia;8535519;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.3333333333;5.3333333333;11;18.6666666667;29.3333333333;38.6666666667;45;53.6666666667;77
US Washington;7614893;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;211;358.3333333333;458.6666666667;527.3333333333;594.3333333333;706.3333333333;874.3333333333;1014
US West Virginia;1792147;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;1
US Wisconsin;5822434;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5.6666666667;11;18;26;35.3333333333;50.3333333333;92
US Wyoming;578759;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333;0.6666666667;1.3333333333;2;2.6666666667;5.6666666667;15
