Country;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Afghanistan;0.99%;2.16%;2.67%;2.70%;3.00%;3.48%;4.00%;4.50%;5.00%;5.50%
Albania;2.22%;3.31%;3.82%;4.06%;2.98%;4.02%;3.99%;4.01%;4.01%;4.00%
Algeria;3.70%;3.20%;1.30%;1.40%;2.55%;2.41%;1.75%;1.45%;1.00%;0.79%
Angola;0.94%;-2.58%;-0.15%;-1.20%;-0.27%;1.15%;2.87%;3.33%;4.12%;3.78%
Antigua and Barbuda;3.82%;5.50%;3.15%;7.39%;4.03%;3.32%;2.51%;2.00%;2.00%;2.00%
Argentina;2.73%;-2.08%;2.67%;-2.48%;-3.06%;-1.28%;1.43%;2.28%;3.10%;3.20%
Armenia;3.25%;0.20%;7.52%;5.24%;6.00%;4.80%;4.50%;4.50%;4.50%;4.50%
Aruba;-0.45%;0.48%;2.34%;1.20%;0.70%;1.00%;1.10%;1.10%;1.10%;1.10%
Australia;2.46%;2.79%;2.42%;2.74%;1.71%;2.26%;2.58%;2.70%;2.67%;2.64%
Austria;1.14%;2.04%;2.55%;2.75%;1.60%;1.70%;1.55%;1.55%;1.56%;1.56%
Azerbaijan;1.05%;-3.06%;0.15%;0.97%;2.70%;2.11%;2.15%;2.21%;2.35%;2.42%
The Bahamas;0.60%;0.45%;0.07%;1.57%;0.91%;-0.56%;2.10%;1.73%;1.60%;1.59%
Bahrain;2.86%;3.47%;3.80%;1.78%;1.98%;2.10%;2.35%;2.44%;2.79%;2.97%
Bangladesh;6.84%;7.20%;7.58%;7.93%;7.79%;7.45%;7.30%;7.30%;7.30%;7.30%
Barbados;2.45%;2.48%;0.48%;-0.58%;-0.10%;0.60%;1.50%;1.84%;1.84%;1.84%
Belarus;-3.83%;-2.53%;2.53%;3.05%;1.53%;0.30%;0.10%;0.06%;0.03%;-0.37%
Belgium;1.74%;1.45%;1.74%;1.44%;1.21%;1.30%;1.30%;1.32%;1.36%;1.36%
Belize;3.43%;-0.59%;1.44%;3.04%;2.72%;2.10%;1.79%;1.69%;1.71%;1.69%
Benin;1.78%;3.34%;5.67%;6.70%;6.55%;6.70%;6.74%;6.74%;6.73%;6.75%
Bhutan;6.21%;7.36%;6.26%;4.61%;5.53%;7.21%;5.91%;6.91%;7.17%;6.41%
Bolivia;4.86%;4.26%;4.20%;4.22%;3.90%;3.80%;3.70%;3.70%;3.70%;3.70%
Bosnia and Herzegovina;3.07%;3.21%;3.11%;3.62%;2.80%;2.60%;2.60%;2.80%;2.90%;3.00%
Botswana;-1.70%;4.30%;2.91%;4.45%;3.48%;4.34%;5.91%;3.85%;3.91%;3.93%
Brazil;-3.55%;-3.31%;1.06%;1.11%;0.88%;2.04%;2.37%;2.36%;2.41%;2.26%
Brunei Darussalam;-0.41%;-2.46%;1.33%;0.05%;1.81%;4.70%;3.60%;3.54%;2.43%;2.12%
Bulgaria;3.47%;3.94%;3.81%;3.08%;3.70%;3.20%;3.00%;2.80%;2.80%;2.80%
Burkina Faso;3.90%;5.95%;6.32%;6.82%;5.97%;5.97%;6.01%;6.02%;6.00%;6.00%
Burundi;-3.96%;-1.04%;0.00%;0.15%;0.42%;0.50%;0.50%;0.50%;0.50%;0.50%
Cabo Verde;1.01%;4.71%;3.70%;5.08%;4.97%;4.95%;4.99%;5.00%;4.98%;4.98%
Cambodia;7.04%;6.86%;7.00%;7.53%;6.97%;6.77%;6.70%;6.64%;6.56%;6.51%
Cameroon;5.65%;4.65%;3.55%;4.06%;4.00%;4.17%;4.51%;4.96%;5.24%;5.39%
Canada;0.69%;1.11%;2.98%;1.88%;1.54%;1.76%;1.76%;1.72%;1.70%;1.70%
Central African Republic;4.34%;4.75%;4.53%;3.82%;4.46%;4.97%;4.96%;4.99%;4.99%;4.99%
Chad;1.77%;-5.56%;-2.38%;2.44%;2.28%;5.44%;4.82%;5.35%;4.08%;3.75%
Chile;2.31%;1.69%;1.25%;4.02%;2.52%;3.02%;3.23%;3.26%;3.26%;3.19%
China;6.90%;6.73%;6.76%;6.57%;6.14%;5.82%;5.90%;5.70%;5.60%;5.50%
Colombia;2.96%;2.09%;1.35%;2.57%;3.36%;3.65%;3.75%;3.75%;3.75%;3.75%
Comoros;1.15%;2.60%;2.95%;2.96%;1.25%;4.25%;3.60%;3.51%;3.53%;3.46%
Democratic Republic of the Congo;6.92%;2.40%;3.73%;5.82%;4.29%;3.89%;3.39%;4.51%;4.27%;4.61%
Republic of Congo;2.62%;-2.83%;-1.77%;1.59%;3.97%;2.78%;1.92%;0.05%;1.26%;2.25%
Costa Rica;3.63%;4.25%;3.40%;2.63%;2.02%;2.53%;2.80%;2.96%;3.19%;3.50%
Côte d'Ivoire;8.84%;7.97%;7.70%;7.43%;7.49%;7.29%;7.01%;6.72%;6.49%;6.41%
Croatia;2.40%;3.54%;2.92%;2.63%;3.03%;2.70%;2.52%;2.27%;2.06%;2.03%
Cyprus;1.96%;4.81%;4.47%;3.88%;3.11%;2.88%;2.71%;2.60%;2.46%;2.51%
Czech Republic;5.31%;2.45%;4.35%;2.96%;2.45%;2.62%;2.65%;2.55%;2.54%;2.54%
Denmark;2.34%;2.40%;2.27%;1.49%;1.70%;1.91%;1.72%;1.65%;1.52%;1.51%
Djibouti;7.67%;6.92%;5.08%;5.50%;6.00%;6.00%;6.00%;6.00%;6.00%;6.00%
Dominica;-2.55%;2.52%;-9.53%;0.53%;9.37%;4.93%;4.17%;3.57%;2.09%;1.48%
Dominican Republic;6.93%;6.66%;4.67%;6.98%;4.99%;5.23%;4.95%;5.02%;5.00%;5.00%
Ecuador;0.10%;-1.23%;2.37%;1.38%;-0.48%;0.48%;1.64%;2.72%;2.51%;2.51%
Egypt;4.37%;4.35%;4.08%;5.31%;5.52%;5.87%;5.96%;5.97%;5.95%;6.00%
El Salvador;2.40%;2.51%;2.31%;2.54%;2.50%;2.30%;2.20%;2.20%;2.20%;2.20%
Equatorial Guinea;-9.11%;-8.82%;-4.71%;-5.73%;-4.64%;-4.99%;-5.26%;-5.64%;-3.22%;-2.81%
Eritrea;-20.62%;7.39%;-9.62%;12.19%;3.10%;3.86%;4.03%;7.16%;4.74%;4.78%
Estonia;1.85%;2.63%;5.75%;4.76%;3.20%;2.90%;2.80%;2.80%;2.80%;2.80%
Eswatini;2.31%;1.27%;2.02%;2.35%;1.30%;0.51%;0.64%;0.54%;0.58%;0.47%
Ethiopia;10.40%;8.00%;10.15%;7.71%;7.44%;7.20%;7.13%;7.02%;6.61%;6.51%
Fiji;4.66%;2.51%;5.42%;3.53%;2.70%;3.00%;3.20%;3.20%;3.20%;3.20%
Finland;0.50%;2.77%;3.04%;1.66%;1.24%;1.47%;1.47%;1.39%;1.34%;1.35%
France;1.11%;1.09%;2.26%;1.73%;1.25%;1.26%;1.34%;1.39%;1.39%;1.43%
Gabon;3.88%;2.09%;0.50%;0.85%;2.94%;3.42%;3.72%;4.47%;4.53%;4.55%
The Gambia;4.06%;1.94%;4.82%;6.55%;6.53%;6.40%;5.60%;5.40%;5.12%;4.80%
Georgia;2.88%;2.85%;4.83%;4.72%;4.64%;4.80%;5.00%;5.20%;5.20%;5.19%
Germany;1.74%;2.23%;2.46%;1.52%;0.54%;1.25%;1.44%;1.34%;1.24%;1.17%
Ghana;2.18%;3.45%;8.14%;6.26%;7.46%;5.61%;4.22%;4.62%;4.96%;5.11%
Greece;-0.44%;-0.19%;1.50%;1.93%;1.98%;2.22%;1.71%;1.34%;0.90%;0.93%
Grenada;6.45%;3.74%;4.44%;4.25%;3.14%;2.73%;2.66%;3.17%;3.18%;2.96%
Guatemala;4.14%;3.09%;2.76%;3.15%;3.35%;3.54%;3.72%;3.60%;3.51%;3.47%
Guinea;3.81%;10.83%;10.05%;5.77%;5.89%;5.96%;5.99%;5.28%;4.99%;4.96%
Guinea-Bissau;6.13%;6.26%;5.93%;3.80%;4.60%;4.90%;5.00%;5.10%;5.20%;5.30%
Guyana;3.06%;3.36%;2.13%;4.14%;4.43%;85.62%;4.77%;20.63%;26.19%;3.24%
Haiti;1.21%;1.45%;1.17%;1.48%;0.10%;1.20%;1.50%;1.50%;1.50%;1.50%
Honduras;3.84%;3.75%;4.93%;3.75%;3.36%;3.53%;3.63%;3.74%;3.85%;3.94%
Hong Kong SAR;2.39%;2.18%;3.85%;3.00%;0.35%;1.46%;2.46%;2.66%;2.75%;2.85%
Hungary;3.54%;2.28%;4.14%;4.94%;4.60%;3.30%;2.90%;2.60%;2.40%;2.20%
Iceland;4.75%;6.63%;4.40%;4.82%;0.82%;1.63%;2.05%;2.04%;2.05%;1.94%
India;8.00%;8.17%;7.17%;6.81%;6.12%;7.03%;7.44%;7.44%;7.44%;7.33%
Indonesia;4.88%;5.03%;5.07%;5.17%;5.04%;5.07%;5.23%;5.31%;5.29%;5.27%
Islamic Republic of Iran;-1.59%;12.52%;3.73%;-4.84%;-9.46%;0.05%;0.99%;0.97%;0.98%;1.09%
Iraq;2.54%;15.20%;-2.50%;-0.56%;3.40%;4.68%;3.73%;2.32%;2.07%;2.08%
Ireland;25.12%;3.66%;8.14%;8.30%;4.25%;3.50%;3.15%;2.89%;2.72%;2.68%
Israel;2.31%;3.98%;3.58%;3.44%;3.13%;3.07%;3.16%;3.09%;3.05%;2.99%
Italy;0.92%;1.12%;1.68%;0.86%;0.01%;0.54%;0.77%;0.69%;0.65%;0.65%
Jamaica;0.85%;1.50%;0.66%;1.64%;1.06%;1.02%;1.70%;1.98%;2.08%;2.17%
Japan;1.22%;0.61%;1.94%;0.81%;0.89%;0.47%;0.45%;0.52%;0.50%;0.50%
Jordan;2.35%;2.04%;2.12%;1.94%;2.20%;2.40%;2.60%;2.80%;3.00%;3.00%
Kazakhstan;1.20%;1.10%;4.10%;4.10%;3.82%;3.92%;3.71%;3.32%;5.30%;3.54%
Kenya;5.72%;5.88%;4.86%;6.32%;5.60%;6.05%;5.82%;5.84%;5.83%;5.85%
Kiribati;10.40%;5.13%;0.33%;2.33%;2.32%;2.35%;2.04%;1.93%;1.94%;1.81%
Korea;2.81%;2.95%;3.16%;2.67%;1.95%;2.22%;2.75%;2.89%;2.87%;2.92%
Kosovo;4.10%;4.06%;4.23%;3.82%;4.20%;4.00%;4.00%;4.00%;4.00%;4.00%
Kuwait;0.59%;2.93%;-3.48%;1.18%;0.58%;3.07%;2.63%;2.26%;2.65%;2.87%
Kyrgyz Republic;3.88%;4.34%;4.74%;3.46%;3.76%;3.39%;3.78%;4.58%;3.35%;3.35%
Lao P.D.R.;7.27%;7.02%;6.83%;6.31%;6.43%;6.51%;6.74%;6.77%;6.76%;6.77%
Latvia;2.97%;2.06%;4.64%;4.77%;2.84%;2.79%;2.90%;3.02%;3.02%;3.00%
Lebanon;0.41%;1.61%;0.55%;0.25%;0.20%;0.86%;2.34%;2.57%;3.12%;2.75%
Lesotho;2.13%;2.69%;0.52%;2.77%;2.76%;-0.17%;3.68%;4.45%;1.39%;1.35%
Liberia;0.01%;-1.63%;2.47%;1.24%;0.44%;1.55%;1.25%;-1.26%;-0.49%;3.75%
Libya;-13.02%;-7.39%;64.01%;17.88%;-19.06%;-0.04%;0.00%;0.00%;0.00%;0.00%
Lithuania;2.02%;2.35%;4.14%;3.49%;3.40%;2.72%;2.46%;2.39%;2.30%;2.29%
Luxembourg;3.92%;2.41%;1.55%;2.60%;2.56%;2.77%;2.66%;2.63%;2.60%;2.58%
Macao SAR;-21.59%;-0.86%;9.70%;4.71%;-1.32%;-1.06%;-0.06%;0.43%;0.35%;0.25%
Madagascar;3.10%;4.19%;4.29%;5.20%;5.22%;5.31%;5.14%;4.85%;4.84%;4.81%
Malawi;2.95%;2.27%;4.00%;3.17%;4.50%;5.10%;5.50%;6.00%;6.50%;6.50%
Malaysia;5.01%;4.45%;5.74%;4.74%;4.50%;4.40%;4.90%;4.84%;4.84%;4.90%
Maldives;2.88%;7.29%;6.91%;7.51%;6.47%;6.04%;5.51%;5.47%;5.54%;5.46%
Mali;6.17%;5.76%;5.42%;4.65%;5.04%;5.00%;4.90%;4.90%;4.80%;4.80%
Malta;10.82%;5.68%;6.72%;6.77%;5.10%;4.32%;3.74%;3.50%;3.29%;3.18%
Marshall Islands;-0.63%;1.78%;4.55%;2.55%;2.41%;2.30%;2.00%;1.85%;1.65%;1.25%
Mauritania;0.44%;1.84%;3.07%;3.57%;6.63%;5.88%;5.85%;9.16%;6.48%;5.81%
Mauritius;3.55%;3.84%;3.81%;3.76%;3.67%;3.83%;3.93%;4.01%;4.01%;4.01%
Mexico;3.29%;2.91%;2.12%;2.00%;0.40%;1.31%;1.90%;2.11%;2.27%;2.40%
Micronesia;4.96%;0.72%;2.43%;1.20%;1.45%;0.78%;0.74%;0.60%;0.60%;0.60%
Moldova;-0.34%;4.41%;4.69%;4.00%;3.50%;3.80%;3.80%;3.80%;3.80%;3.80%
Mongolia;2.38%;1.17%;5.34%;6.91%;6.50%;5.37%;5.14%;5.58%;6.03%;5.00%
Montenegro;3.39%;2.95%;4.72%;4.90%;2.99%;2.48%;2.92%;3.18%;3.21%;2.93%
Morocco;4.55%;1.06%;4.20%;2.96%;2.66%;3.69%;4.13%;4.30%;4.42%;4.53%
Mozambique;6.59%;3.76%;3.74%;3.27%;1.80%;6.04%;4.00%;4.00%;9.24%;11.47%
Myanmar;7.47%;5.15%;6.33%;6.83%;6.20%;6.26%;6.01%;6.13%;6.34%;6.45%
Namibia;6.09%;1.12%;-0.87%;-0.07%;-0.18%;1.55%;2.43%;3.20%;3.90%;2.97%
Nauru;3.42%;3.02%;-5.50%;-1.49%;1.51%;0.73%;1.27%;1.65%;1.87%;2.00%
Nepal;3.32%;0.59%;8.22%;6.66%;7.05%;6.27%;5.76%;5.29%;4.97%;4.97%
Netherlands;1.96%;2.19%;2.91%;2.60%;1.76%;1.64%;1.53%;1.49%;1.47%;1.52%
New Zealand;4.00%;4.18%;2.62%;2.81%;2.51%;2.70%;2.62%;2.60%;2.46%;2.49%
Nicaragua;4.79%;4.56%;4.67%;-3.82%;-5.04%;-0.80%;-0.10%;0.45%;0.98%;1.46%
Niger;4.34%;4.93%;4.89%;6.48%;6.28%;6.05%;5.59%;11.89%;6.14%;6.76%
Nigeria;2.65%;-1.62%;0.81%;1.92%;2.29%;2.52%;2.52%;2.73%;2.61%;2.64%
North Macedonia;3.86%;2.85%;0.24%;2.67%;3.15%;3.35%;3.20%;3.30%;3.43%;3.54%
Norway;1.97%;1.07%;2.32%;1.29%;1.93%;2.44%;1.58%;1.63%;1.66%;1.69%
Oman;4.66%;4.90%;0.35%;1.76%;0.04%;3.68%;4.32%;0.90%;-0.61%;1.63%
Pakistan;4.06%;4.56%;5.22%;5.53%;3.29%;2.35%;3.00%;4.53%;5.01%;5.02%
Palau;10.07%;0.80%;-3.52%;1.70%;0.30%;1.80%;2.20%;2.00%;2.00%;2.00%
Panama;5.73%;4.97%;5.32%;3.68%;4.31%;5.50%;5.49%;5.50%;5.50%;5.50%
Papua New Guinea;9.48%;4.08%;2.67%;-1.09%;5.02%;2.56%;2.52%;3.05%;3.40%;3.55%
Paraguay;3.08%;4.31%;4.96%;3.72%;1.01%;4.03%;4.21%;4.04%;4.07%;3.90%
Peru;3.27%;4.05%;2.47%;3.99%;2.60%;3.62%;4.00%;3.99%;3.90%;3.76%
Philippines;6.07%;6.88%;6.68%;6.24%;5.72%;6.18%;6.39%;6.47%;6.52%;6.50%
Poland;3.84%;3.06%;4.94%;5.15%;4.03%;3.08%;2.69%;2.53%;2.49%;2.49%
Portugal;1.79%;2.02%;3.51%;2.44%;1.91%;1.60%;1.50%;1.50%;1.50%;1.50%
Puerto Rico;-1.05%;-1.26%;-2.66%;-4.91%;-1.15%;-0.69%;-0.78%;-0.78%;-0.75%;-0.75%
Qatar;3.66%;2.13%;1.58%;1.49%;1.97%;2.75%;3.02%;2.36%;2.09%;2.83%
Romania;3.87%;4.80%;6.99%;4.10%;4.00%;3.50%;3.00%;3.00%;3.00%;3.00%
Russia;-2.31%;0.33%;1.63%;2.25%;1.08%;1.87%;2.04%;2.05%;1.95%;1.85%
Rwanda;8.87%;5.98%;6.12%;8.61%;7.80%;8.10%;8.20%;8.00%;7.50%;7.50%
Samoa;1.65%;7.17%;2.71%;0.86%;3.35%;4.40%;2.19%;2.23%;2.23%;2.23%
San Marino;2.50%;2.46%;0.60%;1.13%;0.79%;0.70%;0.60%;0.50%;0.50%;0.50%
São Tomé and Príncipe;3.80%;4.17%;3.87%;2.66%;2.70%;3.50%;4.00%;4.50%;4.50%;4.50%
Saudi Arabia;4.11%;1.67%;-0.74%;2.43%;0.17%;2.18%;2.22%;2.40%;2.50%;2.47%
Senegal;6.37%;6.36%;7.13%;6.65%;6.05%;6.75%;6.96%;8.38%;11.56%;7.98%
Serbia;1.78%;3.34%;2.05%;4.30%;3.50%;3.99%;4.00%;4.00%;4.00%;4.00%
Seychelles;4.91%;4.50%;4.33%;4.09%;3.46%;3.32%;4.14%;4.02%;3.84%;3.58%
Sierra Leone;-20.49%;6.35%;3.77%;3.46%;5.00%;4.65%;4.78%;4.64%;4.69%;4.69%
Singapore;2.89%;2.96%;3.70%;3.14%;0.55%;0.99%;1.57%;2.22%;2.35%;2.50%
Slovak Republic;4.17%;3.12%;3.19%;4.11%;2.60%;2.70%;2.75%;2.75%;2.75%;2.50%
Slovenia;2.21%;3.12%;4.83%;4.12%;2.94%;2.94%;2.73%;2.31%;2.23%;2.12%
Solomon Islands;2.54%;3.22%;3.69%;3.85%;2.70%;2.87%;2.71%;2.71%;2.79%;2.87%
Somalia;3.46%;2.89%;1.39%;2.80%;2.90%;3.20%;3.50%;3.50%;3.50%;3.50%
South Africa;1.19%;0.40%;1.42%;0.79%;0.66%;1.08%;1.44%;1.76%;1.78%;1.77%
South Sudan;-0.17%;-16.74%;-5.49%;-1.12%;7.93%;8.21%;5.01%;5.91%;5.28%;4.70%
Spain;3.65%;3.17%;2.98%;2.58%;2.17%;1.85%;1.70%;1.67%;1.65%;1.59%
Sri Lanka;5.01%;4.49%;3.42%;3.21%;2.72%;3.53%;4.25%;4.50%;4.64%;4.84%
St. Kitts and Nevis;1.59%;1.85%;0.91%;4.59%;3.50%;3.50%;3.00%;2.70%;2.66%;2.67%
St. Lucia;0.23%;3.15%;2.55%;0.86%;1.51%;3.22%;2.99%;2.40%;1.50%;1.50%
St. Vincent and the Grenadines;0.82%;0.84%;0.72%;2.01%;2.33%;2.32%;2.34%;2.31%;2.34%;2.32%
Sudan;1.91%;2.94%;1.66%;-2.23%;-2.62%;-1.51%;-1.06%;0.16%;0.98%;1.41%
Suriname;-3.41%;-5.56%;1.69%;2.00%;2.20%;2.50%;2.40%;2.00%;2.40%;2.60%
Sweden;4.42%;2.41%;2.41%;2.32%;0.94%;1.46%;2.05%;1.97%;1.98%;1.99%
Switzerland;1.26%;1.71%;1.86%;2.76%;0.76%;1.26%;1.62%;1.59%;1.60%;1.60%
Syria;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Taiwan Province of China;0.81%;1.51%;3.08%;2.63%;2.04%;1.93%;2.09%;2.12%;2.08%;2.01%
Tajikistan;6.00%;6.90%;7.10%;7.30%;5.00%;4.50%;4.50%;4.50%;4.00%;4.00%
Tanzania;6.16%;6.87%;6.77%;6.95%;5.20%;5.70%;5.99%;6.29%;6.53%;6.47%
Thailand;3.13%;3.36%;4.02%;4.13%;2.87%;3.01%;3.49%;3.65%;3.65%;3.65%
Timor-Leste;3.48%;5.12%;-3.48%;-0.20%;4.50%;5.00%;4.80%;4.80%;4.80%;4.80%
Togo;5.74%;5.60%;4.42%;4.90%;5.10%;5.30%;5.41%;5.41%;5.41%;5.41%
Tonga;3.63%;4.70%;2.70%;1.47%;3.51%;3.68%;2.88%;2.43%;2.11%;1.99%
Trinidad and Tobago;1.78%;-6.51%;-1.86%;0.32%;0.01%;1.49%;2.29%;1.98%;1.62%;1.66%
Tunisia;1.20%;1.26%;1.82%;2.48%;1.51%;2.43%;2.89%;3.80%;3.88%;4.44%
Turkey;6.09%;3.18%;7.47%;2.83%;0.25%;2.99%;3.00%;3.03%;3.47%;3.50%
Turkmenistan;6.45%;6.20%;6.47%;6.15%;6.34%;6.04%;5.84%;5.94%;5.86%;5.83%
Tuvalu;9.14%;3.04%;3.24%;4.28%;4.07%;4.38%;4.24%;4.14%;3.89%;2.75%
Uganda;5.67%;2.32%;5.01%;6.11%;6.16%;6.22%;6.14%;6.06%;7.79%;10.09%
Ukraine;-9.77%;2.44%;2.52%;3.28%;2.99%;3.01%;3.14%;3.19%;3.34%;3.31%
United Arab Emirates;5.07%;2.99%;0.49%;1.73%;1.56%;2.52%;2.72%;2.32%;2.40%;2.47%
United Kingdom;2.35%;1.79%;1.82%;1.40%;1.24%;1.45%;1.54%;1.50%;1.53%;1.53%
United States;2.91%;1.64%;2.37%;2.93%;2.35%;2.09%;1.75%;1.56%;1.58%;1.62%
Uruguay;0.37%;1.69%;2.59%;1.62%;0.40%;2.30%;3.00%;2.00%;2.00%;2.40%
Uzbekistan;7.45%;6.09%;4.46%;5.13%;5.50%;6.00%;6.00%;6.00%;6.00%;6.00%
Vanuatu;0.16%;3.47%;4.41%;3.20%;3.80%;3.10%;2.80%;2.80%;2.90%;2.90%
Venezuela;-6.22%;-17.04%;-15.67%;-18.00%;-35.00%;-10.00%;-5.00%;n/a;n/a;n/a
Vietnam;6.68%;6.21%;6.81%;7.08%;6.50%;6.50%;6.50%;6.50%;6.50%;6.50%
Yemen;-28.00%;-9.38%;-5.07%;0.75%;2.11%;1.98%;13.62%;8.12%;6.54%;3.57%
Zambia;2.92%;3.76%;3.52%;3.67%;2.02%;1.70%;1.73%;1.60%;1.48%;1.50%
Zimbabwe;1.79%;0.74%;4.70%;3.50%;-7.08%;2.72%;2.52%;2.50%;2.16%;2.16%
