country;WBK Y2016;WBK Y2017;WBK Y2018;WBK Y2019;WBK Y2020;WBK Y2021;IMF Y2019;IMF Y2020;IMF Y2021;IMF Y2022;IMF Y2023;IMF Y2024;IMF Y2025;IMF Y2026;Delta Y2019;Delta Y2020;Delta Y2021
Advanced Economies;1.7;2.3;2.1;1.7;1.5;1.5;;;5.1;3.6;1.8;1.6;1.5;1.5;;;3.6
Afghanistan;2.3;2.7;1;2.4;3.2;3.6;;;4;4.5;4.5;4;4;4;;;0.4
Albania;3.3;3.8;4.1;3.7;3.7;3.8;;;5;4;4;3.5;3.5;3.5;;;1.2
Algeria;3.2;1.4;1.5;1.9;1.7;1.4;;;2.9;2.7;1.1;1;1;1.1;;;1.5
Angola;-2.6;-0.1;-1.7;1;2.9;2.8;;;0.4;2.4;3.5;3.8;3.9;3.7;;;-2.4
Antigua and Barbuda;;;;;;;3.4;-17.3;-3;11.9;6.3;5.9;3.9;3;;;
Argentina;-2.1;2.7;-2.5;-1.2;2.2;3.2;;;5.8;2.5;2.1;1.7;1.6;1.5;;;2.6
Armenia;0.2;7.5;5.2;4.2;4.9;5.2;;;1;3.5;5.2;4.7;4.5;4.5;;;-4.2
Aruba;;;;;;;0.4;-25.5;5;12;7.5;6.3;1.6;1.4;;;
Australia;;;;;;;1.9;-2.4;4.5;2.8;2.3;2.3;2.4;2.5;;;
Austria;;;;;;;1.4;-6.6;3.5;4;2.3;2;1.8;1.8;;;
Azerbaijan;-3.1;0.1;1.4;3.3;3.5;3.7;;;2.3;1.7;1.7;1.7;1.7;1.7;;;-1.4
Bahamas The;;;;;;;1.2;-16.3;2;8.5;4;3.5;1.8;1.5;;;
Bahrain;3.5;3.8;1.8;2;2.2;2.8;;;3.3;3.1;3.1;3.1;3.1;3.1;;;0.5
Bangladesh;7.1;7.3;7.9;7.3;7.4;7.3;;;5;7.5;7.3;7.3;7.3;7.2;;;-2.3
Barbados;;;;;;;-0.1;-17.6;4.1;7.7;4.8;2.7;1.8;1.8;;;
Belarus;-2.5;2.5;3;1.8;1.3;1.2;;;-0.4;0.8;1.2;2.2;1.4;1.4;;;-1.6
Belgium;;;;;;;1.7;-6.4;4;3.1;2.1;1.6;1.3;1.3;;;
Belize;-0.6;1.4;3;2.3;2.1;1.9;;;1.9;6.4;4.2;2;2;2;;;0
Benin;4;5.8;6.5;6.5;6.5;6.5;;;5;6;6.5;6.5;6.5;6.4;;;-1.5
Bhutan;7.4;6.3;5.8;5.4;5.4;5.2;;;-1.9;5.7;5.6;7.6;5.8;5.8;;;-7.1
Bolivia;4.3;4.2;4.2;4;3.6;3.4;;;5.5;4.2;3.8;3.7;3.5;3.4;;;2.1
Bosnia and Herzegovina;3.1;3.2;3.1;3.4;3.9;4;;;3.5;3.3;3;3;3;3;;;-0.5
Botswana;4.3;2.9;4.5;4.2;3.9;4;;;7.5;5.4;4.3;3.9;3.9;3.9;;;3.5
Brazil;-3.3;1.1;1.1;1.5;2.5;2.3;;;3.7;2.6;2.1;2;2;2;;;1.4
Brunei Darussalam;;;;;;;3.9;1.2;1.6;2.5;2.3;2.1;2.1;2;;;
Bulgaria;3.9;3.8;3.1;3;2.8;2.8;;;4.4;4.4;3.9;3.2;3;2.8;;;1.6
Burkina Faso;5.9;6.3;6.8;6;6;6;;;4.3;5.2;5.6;5.6;5.6;5.6;;;-1.7
Burundi;-0.6;0.5;1.6;1.8;2.1;2;;;2.8;3.7;3.7;3.7;2.8;3;;;0.8
Cabo Verde;4.7;4;4.5;4.4;4.6;4.7;;;5.8;6;6.1;6.1;6.2;6.2;;;1.1
Cambodia;7;7;7.5;7;6.9;6.8;;;4.2;6;6.3;6.6;6.7;6.8;;;-2.6
Cameroon;4.6;3.5;4;4.2;4.4;4.6;;;3.4;4.3;4.8;5.4;5.4;5.5;;;-1.2
Canada;;;;;;;1.9;-5.4;5;4.7;2.2;1.4;1.4;1.5;;;
Central African Republic;;;;;;;3;0;3.5;5;5;5;5;4.8;;;
Chad;-6.3;-3;2.6;3.4;5.6;4.8;;;1.8;2.6;2.8;4.5;4.6;3.8;;;-3
Chile;1.7;1.3;4;3.5;3.1;3;;;6.2;3.8;2.7;2.5;2.5;2.5;;;3.2
China;6.7;6.8;6.6;6.2;6.1;6;;;8.4;5.6;5.4;5.3;5.1;4.9;;;2.4
Colombia;2.1;1.4;2.6;3.5;3.7;3.7;;;5.1;3.6;4;3.8;3.8;3.6;;;1.4
Comoros;2.2;2.7;2.8;3.1;3.2;3.2;;;0;3.6;3.7;3.8;3.8;3.8;;;-3.2
Congo Dem. Rep.;2.4;3.7;5.8;5.9;6.5;6.8;;;;;;;;;;;
Congo Democratic Republic of the;;;;;;;4.4;-0.1;3.8;4.9;4.9;5.2;5.1;4.1;;;
Congo Rep.;-2.8;-3.1;0.8;5.4;1.5;1.9;;;;;;;;;;;
Congo Republic of;;;;;;;-0.6;-7.8;0.2;1;5;2;2.8;1;;;
Costa Rica;4.2;3.4;2.7;3;3.1;3.4;;;2.6;3.3;3.1;3.1;3.2;3.3;;;-0.8
Croatia;3.5;2.9;2.6;2.5;2.5;2.4;;;4.7;5;4.2;3.5;3.7;3;;;2.3
Cyprus;;;;;;;3.1;-5.1;3;3.9;3.1;2.8;2.6;2.5;;;
Czech Republic;;;;;;;2.3;-5.6;4.2;4.3;3.7;3.2;2.9;2.5;;;
Côte d'Ivoire;8;7.7;7.4;7.4;7.3;7.3;;;6;6.5;6.4;6.3;6.1;6;;;-1.3
Denmark;;;;;;;2.9;-3.3;2.8;2.9;1.9;1.8;1.8;1.8;;;
Djibouti;9.1;4.1;6;7;7.5;8;;;5;5.5;6;6;6;6;;;-3
Dominica;;;;;;;7.6;-10.4;-0.4;5.8;3.9;2.9;2.4;1.5;;;
Dominican Republic;6.6;4.6;7;5.2;5;5;;;5.5;5;5;5;5;5;;;0.5
East Asia and Pacific (EAP);6.3;6.5;6.3;5.9;5.9;5.8;;;;;;;;;;;
Ecuador;-1.2;2.4;1.4;0;0.4;0.8;;;2.5;1.3;1.7;2;2.3;2.5;;;1.7
Egypt;4.3;4.2;5.3;5.5;5.8;6;;;2.5;5.7;5.6;5.6;5.8;5.8;;;-3.5
El Salvador;2.5;2.3;2.5;2.6;2.5;2.4;;;4.2;2.8;2.5;2.3;2.1;2;;;1.8
Emerging Market and Developing Economies;4.1;4.5;4.3;4;4.6;4.6;;;6.7;5;4.7;4.6;4.5;4.4;;;2.1
Equatorial Guinea;-8.8;-4.7;-2.9;-2.2;-1.9;-1.8;;;4;-5.9;-1.4;-1.4;-3.2;-2.4;;;5.8
Eritrea;;;;;;;3.8;-0.6;2;4.9;3.8;3.9;3.9;3.9;;;
Estonia;;;;;;;5;-2.9;3.4;4.2;3.5;3.2;3;3;;;
Eswatini;3.2;1.9;0.5;1.1;1.6;1.7;;;1.4;0.9;1.1;2;2.1;2.3;;;-0.3
Ethiopia;7.6;10.2;7.9;7.9;8.2;8.2;;;2;8.7;8.2;8;8;8;;;-6.2
Euro Area;2;2.4;1.8;1.2;1.4;1.3;;;;;;;;;;;
Euro area;;;;;;;1.3;-6.6;4.4;3.8;1.9;1.6;1.4;1.3;;;
Europe and Central Asia (ECA);1.9;4.1;3.1;1.6;2.7;2.9;;;;;;;;;;;
Fiji;0.7;3;3.2;3.4;3.3;3.3;;;5;9;6.5;4.8;3.7;3.3;;;1.7
Finland;;;;;;;1.3;-2.9;2.3;2.5;1.5;1.3;1.3;1.3;;;
France;;;;;;;1.5;-8.2;5.8;4.2;1.7;1.5;1.4;1.2;;;
Gabon;2.1;0.5;0.8;2.8;3.7;3.9;;;1.2;2.7;3.5;3.6;3.8;3.9;;;-2.7
Gambia The;0.4;4.6;6.6;5.4;5.2;5;;;6;6.5;7;6.5;5.8;5.6;;;1
Georgia;2.8;4.8;4.7;4.6;4.8;5;;;3.5;5.8;5.5;5.2;5.2;5.2;;;-1.5
Germany;;;;;;;0.6;-4.9;3.6;3.4;1.6;1.5;1.2;1.1;;;
Ghana;3.4;8.1;6.3;7.6;7;5.8;;;4.6;6.1;4.5;4.4;6.8;5.4;;;-1.2
Greece;;;;;;;1.9;-8.2;3.8;5;2.4;1.5;1.5;1.4;;;
Grenada;3.7;5.1;5.2;3.9;3.7;3.7;;;-1.5;5.2;5.1;3.6;2.7;2.7;;;-5.2
Guatemala;3.1;2.8;3.1;3.3;2.7;3;;;4.5;4;3.5;3.5;3.5;3.5;;;1.5
Guinea;10.5;10.6;5.8;5.9;6;6;;;5.6;5.2;5;5;5;5;;;-0.4
Guinea-Bissau;6.3;5.9;3.8;4.3;4.8;5.5;;;3;4;5;5;5;5;;;-2.5
Guyana;3.4;2.1;4.1;4.6;33.5;22.9;;;16.4;46.5;30.6;2.9;3.1;3;;;-6.5
Haiti;1.5;1.2;1.5;0.4;1.6;1.3;;;1;1;1.1;1.2;1.3;1.4;;;-0.3
Honduras;3.9;4.8;3.7;3.6;3.8;3.9;;;4.5;3.3;3.5;3.6;3.7;3.9;;;0.6
Hong Kong SAR;;;;;;;-1.2;-6.1;4.3;3.8;2.8;2.8;2.9;2.9;;;
Hungary;2.3;4.1;4.9;3.8;2.8;2.6;;;4.3;5.9;3.8;3.2;2.6;2.6;;;1.7
Iceland;;;;;;;2.6;-6.6;3.7;3.6;2.4;2.4;2.3;2.3;;;
India;8.2;7.2;7.2;7.5;7.5;7.5;;;12.5;6.9;6.8;6.7;6.6;6.5;;;5
Indonesia;5;5.1;5.2;5.2;5.3;5.3;;;4.3;5.8;5.7;5.4;5.2;5.2;;;-1
Iran;13.4;3.8;-1.9;-4.5;0.9;1;;;2.5;2.1;2.1;2.1;2.1;2.1;;;1.5
Iraq;13.6;-1.7;0.6;2.8;8.1;2.3;;;1.1;4.4;6;4.4;3.2;3.3;;;-1.2
Ireland;;;;;;;5.9;2.5;4.2;4.8;3.7;2.8;2.7;2.6;;;
Israel;;;;;;;3.4;-2.4;5;4.3;3.8;3.5;3.2;3.1;;;
Italy;;;;;;;0.3;-8.9;4.2;3.6;1.6;0.9;0.9;0.8;;;
Jamaica;1.4;1;1.9;1.6;1.7;1.9;;;1.5;5.7;4.4;3;2.2;2.2;;;-0.4
Japan;0.6;1.9;0.8;0.8;0.7;0.6;;;3.3;2.5;1.1;0.7;0.6;0.5;;;2.7
Jordan;2;2.1;2;2.2;2.4;2.6;;;2;2.7;3.1;3.3;3.3;3.3;;;-0.6
Kazakhstan;1.1;4.1;4.1;3.5;3.2;3.2;;;3.2;4;4.8;3.5;3.5;4.4;;;0
Kenya;5.9;4.9;6.3;5.7;5.9;6;;;7.6;5.7;6.1;6.1;6.1;6.1;;;1.6
Kiribati;;;;;;;3.9;-0.5;1.8;2.5;2.3;2.1;2;2;;;
Korea;;;;;;;2;-1;3.6;2.8;2.6;2.4;2.3;2.3;;;
Kosovo;4.1;4.2;4.2;4.4;4.5;4.5;;;4.5;5.5;4;4;4;4;;;0
Kuwait;2.9;-3.5;1.2;1.6;3;2.9;;;0.7;3.2;2.4;2.4;2.5;2.5;;;-2.2
Kyrgyz Republic;4.3;4.7;3.5;4.3;4;4.1;;;6;4.6;4.2;4.1;4.1;4;;;1.9
Lao P.D.R.;;;;;;;4.7;-0.4;4.6;5.6;5.8;5.8;6.1;6;;;
Lao PDR;7;6.9;6.5;6.6;6.7;6.6;;;;;;;;;;;
Latin America and the Caribbean (LAC);-0.3;1.7;1.6;1.7;2.5;2.7;;;;;;;;;;;
Latvia;;;;;;;2;-3.6;3.9;5.2;3.9;3.2;3.2;3;;;
Lebanon;1.6;0.6;0.2;0.9;1.3;1.5;;;0;0;0;0;0;0;;;-1.5
Lesotho;3.1;-0.4;1.7;1.5;0.4;4.1;;;3.5;4.3;4;1.7;1.8;3.2;;;-0.6
Liberia;-1.6;2.5;1.2;0.4;1.6;1.3;;;3.6;4.7;4.9;5.7;5.5;5.7;;;2.3
Libya;;;;;;;13.2;-59.7;131;5.4;4.9;0.7;4.4;4.2;;;
Lithuania;;;;;;;4.3;-0.8;3.2;3.2;3.1;2.7;2.6;2.3;;;
Luxembourg;;;;;;;2.3;-1.3;4.1;3.6;3;2.7;2.5;2.5;;;
Macao SAR;;;;;;;-2.6;-56.3;61.2;43;4.7;4;3.5;3;;;
Madagascar;4.2;4.3;5.2;5.2;5.3;5.1;;;3.2;5;5.4;5.2;5;5;;;-1.9
Malawi;2.5;4;3.5;4.5;4.7;5.1;;;2.2;6.5;6.5;6.3;6.3;6;;;-2.9
Malaysia;4.2;5.9;4.7;4.6;4.6;4.6;;;6.5;6;5.7;5.3;5;5;;;1.9
Maldives;7.3;6.9;7.9;5.7;5.2;5.3;;;18.9;13.4;12.6;6.3;5.6;5.5;;;13.6
Mali;5.8;5.3;4.9;5;4.9;4.8;;;4;6;5;5;5;5;;;-0.8
Malta;;;;;;;5.5;-7;4.7;5.6;4.6;4.5;4.5;4.5;;;
Marshall Islands;;;;;;;6.5;-3.3;-1.5;3.5;2.5;2;1.8;1.6;;;
Mauritania;2;3;3.6;6.7;5.8;6;;;3.1;5.6;7.5;4.7;3.7;3.8;;;-2.9
Mauritius;3.8;3.8;3.8;3.9;3.9;3.5;;;6.6;5.2;4;3.5;3.3;3.3;;;3.1
Mexico;2.9;2.1;2;1.7;2;2.4;;;5;3;2.1;2;2;2;;;2.6
Micronesia;;;;;;;1.2;-1.6;-3.7;2.8;2;0.6;0.6;0.6;;;
Middle East and North Africa (MNA);5.1;1.2;1.4;1.3;3.2;2.7;;;;;;;;;;;
Moldova;4.4;4.7;4;3.4;3.6;3.8;;;4.5;4;4.2;4.2;4.2;4.2;;;0.7
Mongolia;1.4;5.4;6.9;7.2;6.9;6.2;;;5;7.5;6;5;5;5;;;-1.2
Montenegro;2.9;4.7;4.9;2.9;2.4;2.3;;;;;;;;;;;
Montenegro Rep. of;;;;;;;4.1;-15.2;9;5.5;4.1;3.2;3;3;;;
Morocco;1.1;4.1;3;2.9;3.5;3.6;;;4.5;3.9;3.7;3.6;3.6;3.5;;;0.9
Mozambique;3.8;3.7;3.3;2;3.5;4.2;;;2.1;4.7;8.7;11.1;11.3;5.3;;;-2.1
Myanmar;5.9;6.8;6.2;6.5;6.6;6.8;;;-8.9;1.4;4.7;5;5;5.1;;;-15.7
Namibia;1.1;-0.9;-0.1;0.9;1.5;1.9;;;2.6;3.3;3;2.5;2.5;2.5;;;0.7
Nauru;;;;;;;1;0.7;1.6;0.9;0.8;0.6;0.5;0.5;;;
Nepal;0.6;8.2;6.7;7.1;6.4;6.5;;;2.9;4.2;6;5.4;5.2;5.2;;;-3.6
Netherlands;;;;;;;1.7;-3.8;3.5;3;1.8;1.6;1.5;1.5;;;
New Zealand;;;;;;;2.4;-3;4;3.2;2.6;2.5;2.4;2.5;;;
Nicaragua;4.6;4.7;-3.8;-5;1.1;1.3;;;0.2;2.7;2;1.8;2.1;2.8;;;-1.1
Niger;4.9;4.9;5.2;6.5;6;5.6;;;6.9;12.8;11.1;6.6;6.3;5.8;;;1.3
Nigeria;-1.6;0.8;1.9;2.1;2.2;2.4;;;2.5;2.3;2.3;2.3;2.2;2.2;;;0.1
North Macedonia;2.8;0.2;2.7;2.9;3.2;3.6;;;3.8;4;3.7;3.5;3.5;3.5;;;0.2
Norway;;;;;;;0.9;-0.8;3.9;4;2.8;2.1;1.9;1.7;;;
Oman;5;-0.9;2.1;1.2;6;2.8;;;1.8;7.4;2.7;2.2;1.7;2;;;-1
Pakistan;4.6;5.4;5.8;3.4;2.7;4;;;1.5;4;4.5;5;5;5;;;-2.5
Palau;;;;;;;-1.8;-10.3;-10.8;10.4;14.1;1.8;2;2;;;
Panama;5;5.3;3.7;5;5.4;5.2;;;12;5;5;5;5;5;;;6.8
Papua New Guinea;4.1;2.3;-0.3;5.6;3.1;3.5;;;3.5;4.2;2.5;2.6;2.8;2.8;;;0
Paraguay;4.3;5;3.6;3.3;4;4;;;4;4;4;3.5;3.5;3.5;;;0
Peru;4;2.5;4;3.8;3.9;4;;;8.5;5.2;4.8;3.4;3.3;3.3;;;4.5
Philippines;6.9;6.7;6.2;6.4;6.5;6.5;;;6.9;6.5;6.5;6.5;6.5;6.5;;;0.4
Poland;3.1;4.8;5.1;4;3.6;3.3;;;3.5;4.5;4;3;2.9;2.6;;;0.2
Portugal;;;;;;;2.5;-7.6;3.9;4.8;2.5;2.3;1.8;1.7;;;
Puerto Rico;;;;;;;1.2;-7.5;2.5;0.7;0;-0.3;-0.4;-0.4;;;
Qatar;2.1;1.6;1.4;3;3.2;3.4;;;2.4;3.6;2.2;1.8;2.2;1.9;;;-1
Romania;4.8;7;4.1;3.6;3.3;3.1;;;6;4.8;3.8;3.7;3.5;3.5;;;2.9
Russia;0.3;1.6;2.3;1.2;1.8;1.8;;;3.8;3.8;2.1;1.8;1.8;1.8;;;2
Rwanda;6;6.1;8.6;7.8;8;7.5;;;5.7;6.8;8;7.5;7.5;6.1;;;-1.8
Samoa;;;;;;;3.6;-3.2;-7.8;1.7;3;3.5;2.5;2.1;;;
San Marino;;;;;;;2.4;-9.7;4.5;3.4;1.5;1.1;1.1;1.1;;;
Saudi Arabia;1.7;-0.7;2.2;1.7;3.1;2.3;;;2.9;4;2.8;2.8;2.8;2.8;;;0.6
Senegal;6.2;7.2;6.8;6.8;7;7;;;5.2;6;11.5;8.6;6;6.5;;;-1.8
Serbia;3.3;2;4.3;3.5;4;4;;;5;4.5;4;4;4;4;;;1
Seychelles;4.5;5.3;3.6;3.4;3;3.2;;;1.8;4.3;4.2;3.8;3.7;3.5;;;-1.4
Sierra Leone;6.4;3.8;3.7;5.4;5.4;5.2;;;3;3.6;3.8;5;5.1;4.8;;;-2.2
Singapore;;;;;;;1.3;-5.4;5.2;3.2;2.7;2.6;2.5;2.5;;;
Slovak Republic;;;;;;;2.3;-5.2;4.7;4.4;3.8;3.1;3;2.5;;;
Slovenia;;;;;;;3.2;-5.5;3.7;4.5;3.6;3.1;2.7;2.5;;;
Solomon Islands;3.3;3;3.5;2.9;2.8;2.7;;;1.5;4.5;4.3;3.3;3;2.9;;;-1.2
Somalia;;;;;;;2.9;-1.5;2.9;3.2;3.4;3.6;3.9;4.3;;;
South Africa;0.6;1.4;0.8;1.1;1.5;1.7;;;3.1;2;1.4;1.3;1.3;1.3;;;1.4
South Asia (SAR);8.1;6.7;7;6.9;7;7.1;;;;;;;;;;;
South Sudan;;;;;;;0.9;-6.6;5.3;6.5;5.6;4.6;4.6;4.4;;;
Spain;;;;;;;2;-11;6.4;4.7;2.8;2.4;1.4;1.4;;;
Sri Lanka;4.5;3.3;3.2;3.5;3.6;3.7;;;4;4.1;4.1;4.2;4.2;4.2;;;0.3
St. Kitts and Nevis;;;;;;;2.8;-18.6;-2;10;8;5.5;2.7;2.7;;;
St. Lucia;3.9;3.7;1.5;3.4;3.5;2.4;;;3.1;10.7;3.2;2.4;1.8;1.4;;;0.7
St. Vincent and the Grenadines;1.3;0.7;2;2.1;2.3;2.3;;;-0.1;4.9;3.3;3.1;2.7;2.7;;;-2.4
Sub-Saharan Africa (SSA);1.3;2.6;2.5;2.9;3.3;3.5;;;;;;;;;;;
Sudan;4.7;4.3;-2.3;-1.9;-1.3;-0.8;;;0.4;1.1;2.6;3.6;4.3;4.4;;;1.2
Suriname;-5.6;1.4;2;2;2.1;2.1;;;0.7;1.5;2;1.7;1.3;1;;;-1.4
Sweden;;;;;;;1.4;-2.8;3.1;3;2.3;2.1;2;2;;;
Switzerland;;;;;;;1.1;-3;3.5;2.8;1.4;1.8;1.2;1.8;;;
São Tomé and Príncipe;;;;;;;1.3;-6.5;3;5;4.2;4.5;4.5;4.5;;;
Taiwan Province of China;;;;;;;3;3.1;4.7;3;2.5;2.3;2;2.1;;;
Tajikistan;6.9;7.1;7.3;6;6;6;;;5;4.5;4;4;4;4;;;-1
Tanzania;6.9;6.8;6;5.4;5.7;6.1;;;2.7;4.6;4.7;5;5.5;5.5;;;-3.4
Thailand;3.4;4;4.1;3.5;3.6;3.7;;;2.6;5.6;3.8;3.5;3.6;3.6;;;-1.1
Timor-Leste;5.1;-3.5;-0.7;3.9;4.6;5;;;2.8;4.9;2.6;2;2.8;3;;;-2.2
Togo;5.2;4.3;4.9;5;5.2;5.1;;;3.5;4.5;5;5.5;5.5;5.5;;;-1.6
Tonga;;;;;;;0.7;-0.5;-2.5;2.5;3.5;3;2;1.8;;;
Trinidad and Tobago;-6.5;-1.9;0.7;0.9;1.5;2.1;;;2.1;4.1;2.1;1.5;1.5;1.5;;;0
Tunisia;1.1;2;2.5;2.7;3.2;3.5;;;3.8;2.4;2;1.8;1.8;1.8;;;0.3
Turkey;3.2;7.4;2.6;-1;3;4;;;6;3.5;3.5;3.5;3.5;3.5;;;2
Turkmenistan;6.2;6.5;6.2;5.6;5.1;4.9;;;4.6;3.9;3.9;3.9;3.8;3.7;;;-0.3
Tuvalu;;;;;;;6;0.5;2.5;3.5;3.8;4;4;4;;;
Uganda;4.6;3.9;5.9;6.1;6.5;5.8;;;6.3;5;5.5;6.5;7;6.4;;;0.5
Ukraine;2.4;2.5;3.3;2.7;3.4;3.8;;;4;3.4;3.4;3.8;4;4;;;0.2
United Arab Emirates;3;0.8;1.7;2.6;3;3.2;;;3.1;2.6;2.6;2.6;2.6;2.6;;;-0.1
United Kingdom;;;;;;;1.4;-9.9;5.3;5.1;2;1.8;1.5;1.4;;;
United States;1.6;2.2;2.9;2.5;1.7;1.6;;;6.4;3.5;1.4;1.5;1.6;1.6;;;4.8
Uruguay;1.7;2.6;1.6;1.5;2.3;2.5;;;3;3.1;2.7;2.6;2.3;2.3;;;0.5
Uzbekistan;6.1;4.5;5.1;5.3;5.5;6;;;5;5.3;5.5;5.5;5.5;5.5;;;-1
Vanuatu;;;;;;;3.3;-9.2;3.2;4.6;3.8;3.2;3.2;2.7;;;
Venezuela;;;;;;;-35;-30;-10;-5;0;0;0;0;;;
Vietnam;6.2;6.8;7.1;6.6;6.5;6.5;;;6.5;7.2;7;6.8;6.6;6.6;;;0
West Bank and Gaza;4.7;3.1;0.9;0.5;1;1.6;;;5.7;7;3.8;2.4;2;2;;;4.1
World;2.6;3.1;3;2.6;2.7;2.8;;;6;4.4;3.5;3.4;3.3;3.3;;;3.2
Yemen;;;;;;;2.1;-5;0.5;2.5;7;6.5;6;5.5;;;
Zambia;3.6;3.4;3.5;2.5;2.8;2.8;;;0.6;1.1;1.4;1.6;1.6;1.6;;;-2.2
Zimbabwe;0.8;4.7;3.5;-3.1;3.5;4.9;;;3.1;4;2.5;2.5;2.5;2.5;;;-1.8
