#;Company;Symbol;Weight sp500;      Price;Chg;% Chg
254;Biogen Inc.;BIIB;0.080694;  203.66;-4.91;(-2.35%)
255;Hershey Company;HSY;0.080297;  206.73;0.00;(0.00%)
256;West Pharmaceutical Services Inc.;WST;0.080061;  416.00;1.31;(0.32%)
257;Ball Corporation;BLL;0.079929;  93.00;0.00;(0.00%)
258;ONEOK Inc.;OKE;0.079628;  67.34;0.34;(0.51%)
259;Twitter Inc.;TWTR;0.079525;  37.77;0.00;(0.00%)
260;Weyerhaeuser Company;WY;0.079146;  39.99;0.00;(0.00%)
261;Cummins Inc.;CMI;0.078813;  206.75;0.00;(0.00%)
262;Equifax Inc.;EFX;0.077916;  241.11;0.00;(0.00%)
263;Monster Beverage Corporation;MNST;0.077906;  80.70;0.11;(0.14%)
264;Willis Towers Watson Public Limited Company;WTW;0.077668;  236.00;0.00;(0.00%)
265;Corning Inc;GLW;0.077429;  38.04;0.02;(0.05%)
266;Eversource Energy;ES;0.077377;  83.43;0.00;(0.00%)
267;Keysight Technologies Inc;KEYS;0.077168;  161.41;0.00;(0.00%)
268;American Water Works Company Inc.;AWK;0.076358;  158.72;0.00;(0.00%)
269;Arista Networks Inc.;ANET;0.07566;  131.25;0.00;(0.00%)
270;Expedia Group Inc.;EXPE;0.075042;  192.71;-0.47;(-0.24%)
271;Cerner Corporation;CERN;0.074053;  93.64;0.00;(0.00%)
272;Republic Services Inc.;RSG;0.073855;  132.00;0.51;(0.39%)
273;Alexandria Real Estate Equities Inc.;ARE;0.073243;  195.64;0.00;(0.00%)
274;Copart Inc.;CPRT;0.072872;  129.24;0.00;(0.00%)
275;D.R. Horton Inc.;DHI;0.072457;  85.74;0.00;(0.00%)
276;Match Group Inc.;MTCH;0.072182;  102.69;0.00;(0.00%)
277;LyondellBasell Industries NV;LYB;0.072173;  102.20;-0.23;(-0.22%)
278;ANSYS Inc.;ANSS;0.072059;  318.56;-0.04;(-0.01%)
279;Kraft Heinz Company;KHC;0.07155;  37.71;0.09;(0.24%)
280;Hess Corporation;HES;0.071458;  98.02;0.61;(0.63%)
281;Tractor Supply Company;TSCO;0.071068;  234.50;0.97;(0.42%)
282;Laboratory Corporation of America Holdings;LH;0.070242;  275.00;-0.23;(-0.08%)
283;Extra Space Storage Inc.;EXR;0.0701;  194.42;0.00;(0.00%)
284;Tyson Foods Inc. Class A;TSN;0.069802;  87.49;0.35;(0.40%)
285;Zimmer Biomet Holdings Inc.;ZBH;0.068219;  120.77;0.00;(0.00%)
286;Southwest Airlines Co.;LUV;0.067631;  43.19;-0.05;(-0.12%)
287;Edison International;EIX;0.067154;  64.70;0.05;(0.08%)
288;United Rentals Inc.;URI;0.067012;  346.24;0.00;(0.00%)
289;DTE Energy Company;DTE;0.06616;  126.07;0.00;(0.00%)
290;Lennar Corporation Class A;LEN;0.065555;  92.54;0.00;(0.00%)
291;Stanley Black & Decker Inc.;SWK;0.065095;  151.20;0.00;(0.00%)
292;Enphase Energy Inc.;ENPH;0.065059;  184.64;0.12;(0.07%)
293;Vulcan Materials Company;VMC;0.064911;  183.47;0.00;(0.00%)
294;Mid-America Apartment Communities Inc.;MAA;0.064546;  206.77;0.00;(0.00%)
295;McCormick & Company Incorporated;MKC;0.064497;  96.24;0.00;(0.00%)
296;Gartner Inc.;IT;0.064494;  298.35;0.00;(0.00%)
297;Northern Trust Corporation;NTRS;0.06442;  115.45;0.24;(0.21%)
298;Hartford Financial Services Group Inc.;HIG;0.064073;  70.85;0.00;(0.00%)
299;CDW Corp.;CDW;0.064061;  178.91;-0.48;(-0.27%)
300;FirstEnergy Corp.;FE;0.064031;  43.14;0.00;(0.00%)
301;Martin Marietta Materials Inc.;MLM;0.063864;  385.73;0.00;(0.00%)
302;Church & Dwight Co. Inc.;CHD;0.063809;  96.94;0.00;(0.00%)
303;Delta Air Lines Inc.;DAL;0.06352;  37.68;0.00;(0.00%)
304;Ventas Inc.;VTR;0.063313;  59.46;0.00;(0.00%)
305;M&T Bank Corporation;MTB;0.061582;  179.29;0.00;(0.00%)
306;Albemarle Corporation;ALB;0.061367;  198.00;-0.24;(-0.12%)
307;Ameren Corporation;AEE;0.060989;  87.85;0.00;(0.00%)
308;Diamondback Energy Inc.;FANG;0.060887;  131.75;0.30;(0.23%)
309;STERIS Plc;STE;0.060864;  234.71;0.00;(0.00%)
310;Mosaic Company;MOS;0.060582;  62.21;0.13;(0.21%)
311;Dover Corporation;DOV;0.060507;  159.27;0.00;(0.00%)
312;AmerisourceBergen Corporation;ABC;0.0604;  152.00;0.00;(0.00%)
313;PerkinElmer Inc.;PKI;0.060286;  182.39;0.00;(0.00%)
314;KeyCorp;KEY;0.060111;  23.93;0.00;(0.00%)
315;Zebra Technologies Corporation Class A;ZBRA;0.059843;  438.00;0.82;(0.19%)
316;Paramount Global Class B;PARA;0.059683;  37.09;0.00;(0.00%)
317;Essex Property Trust Inc.;ESS;0.059557;  341.60;0.00;(0.00%)
318;Regions Financial Corporation;RF;0.059352;  22.95;0.00;(0.00%)
319;Entergy Corporation;ETR;0.059261;  109.45;0.00;(0.00%)
320;Best Buy Co. Inc.;BBY;0.058825;  101.84;0.00;(0.00%)
321;Huntington Bancshares Incorporated;HBAN;0.058803;  15.13;0.01;(0.07%)
322;Skyworks Solutions Inc.;SWKS;0.058676;  135.18;0.00;(0.00%)
323;Fortive Corp.;FTV;0.058412;  61.90;0.00;(0.00%)
324;Hewlett Packard Enterprise Co.;HPE;0.058361;  17.04;0.00;(0.00%)
325;W.W. Grainger Inc.;GWW;0.058286;  501.95;0.00;(0.00%)
326;Ulta Beauty Inc;ULTA;0.056676;  391.21;-0.02;(-0.01%)
327;Citizens Financial Group Inc.;CFG;0.056609;  49.25;0.00;(0.00%)
328;Duke Realty Corporation;DRE;0.056052;  56.50;0.22;(0.39%)
329;VeriSign Inc.;VRSN;0.055295;  220.75;0.00;(0.00%)
330;Ingersoll Rand Inc.;IR;0.055011;  51.40;0.00;(0.00%)
331;Cooper Companies Inc.;COO;0.054968;  421.31;0.00;(0.00%)
332;Synchrony Financial;SYF;0.054852;  37.59;0.00;(0.00%)
333;Nasdaq Inc.;NDAQ;0.054675;  180.00;0.77;(0.43%)
334;PPL Corporation;PPL;0.054395;  26.68;0.01;(0.04%)
335;Waters Corporation;WAT;0.054241;  338.14;0.00;(0.00%)
336;Teledyne Technologies Incorporated;TDY;0.054084;  437.38;0.00;(0.00%)
337;Coterra Energy Inc.;CTRA;0.05369;  25.00;0.15;(0.60%)
338;CF Industries Holdings Inc.;CF;0.053114;  95.25;0.00;(0.00%)
339;Molina Healthcare Inc.;MOH;0.052998;  343.35;0.00;(0.00%)
340;Cincinnati Financial Corporation;CINF;0.052978;  127.60;-0.35;(-0.27%)
341;Teradyne Inc.;TER;0.052618;  121.63;-1.32;(-1.07%)
342;Generac Holdings Inc.;GNRC;0.052248;  320.01;0.68;(0.21%)
343;Raymond James Financial Inc.;RJF;0.051891;  105.78;0.00;(0.00%)
344;CMS Energy Corporation;CMS;0.051885;  66.20;0.00;(0.00%)
345;NetApp Inc.;NTAP;0.051767;  89.05;-0.64;(-0.71%)
346;Signature Bank;SBNY;0.051571;  320.00;7.35;(2.35%)
347;Monolithic Power Systems Inc.;MPWR;0.051566;  470.00;0.12;(0.03%)
348;FLEETCOR Technologies Inc.;FLT;0.051467;  239.21;0.00;(0.00%)
349;Pool Corporation;POOL;0.050922;  493.84;6.43;(1.32%)
350;Hologic Inc.;HOLX;0.050231;  74.91;0.00;(0.00%)
351;Akamai Technologies Inc.;AKAM;0.050148;  116.79;-0.83;(-0.71%)
352;V.F. Corporation;VFC;0.049465;  57.87;0.38;(0.66%)
353;Seagate Technology Holdings PLC;STX;0.04944;  95.00;0.68;(0.72%)
354;Genuine Parts Company;GPC;0.049006;  129.00;0.00;(0.00%)
355;CenterPoint Energy Inc.;CNP;0.048965;  29.05;0.00;(0.00%)
356;J.B. Hunt Transport Services Inc.;JBHT;0.048613;  217.00;1.93;(0.90%)
357;Marathon Oil Corporation;MRO;0.048605;  23.14;0.06;(0.26%)
358;Omnicom Group Inc;OMC;0.048565;  84.22;0.00;(0.00%)
359;Catalent Inc;CTLT;0.048437;  109.14;0.00;(0.00%)
360;Etsy Inc.;ETSY;0.048076;  148.40;0.40;(0.27%)
361;Expeditors International of Washington Inc.;EXPD;0.048048;  107.00;0.22;(0.21%)
362;Jacobs Engineering Group Inc.;J;0.048032;  141.22;0.00;(0.00%)
363;Healthpeak Properties Inc.;PEAK;0.047892;  33.16;0.00;(0.00%)
364;Amcor PLC;AMCR;0.047833;  11.67;0.00;(0.00%)
365;Westinghouse Air Brake Technologies Corporation;WAB;0.047609;  96.16;0.00;(0.00%)
366;Quest Diagnostics Incorporated;DGX;0.047379;  145.06;0.00;(0.00%)
367;Boston Properties Inc.;BXP;0.04734;  124.55;0.00;(0.00%)
368;Broadridge Financial Solutions Inc.;BR;0.047239;  153.59;0.00;(0.00%)
369;Trimble Inc.;TRMB;0.047119;  71.81;0.00;(0.00%)
370;International Paper Company;IP;0.046972;  45.01;0.00;(0.00%)
371;Garmin Ltd.;GRMN;0.046869;  119.75;0.14;(0.12%)
372;Quanta Services Inc.;PWR;0.046795;  126.56;0.00;(0.00%)
373;Principal Financial Group Inc.;PFG;0.046727;  70.03;0.00;(0.00%)
374;Take-Two Interactive Software Inc.;TTWO;0.046364;  151.37;0.00;(0.00%)
375;Tyler Technologies Inc.;TYL;0.046309;  435.99;0.00;(0.00%)
376;Darden Restaurants Inc.;DRI;0.04543;  133.63;0.00;(0.00%)
377;CarMax Inc.;KMX;0.045247;  104.47;0.00;(0.00%)
378;Bio-Techne Corporation;TECH;0.044875;  445.55;-0.05;(-0.01%)
379;UDR Inc.;UDR;0.044718;  57.22;0.00;(0.00%)
380;Caesars Entertainment Inc;CZR;0.044622;  80.95;0.12;(0.15%)
381;FMC Corporation;FMC;0.044621;  130.50;1.06;(0.82%)
382;SolarEdge Technologies Inc.;SEDG;0.044421;  312.50;-0.01;(-0.00%)
383;Constellation Energy Corporation;CEG;0.044412;  49.90;0.89;(1.82%)
384;Textron Inc.;TXT;0.044309;  75.15;0.00;(0.00%)
385;MGM Resorts International;MGM;0.044271;  42.25;0.08;(0.19%)
386;Royal Caribbean Group;RCL;0.044184;  76.45;0.27;(0.35%)
387;Paycom Software Inc.;PAYC;0.044063;  359.02;0.00;(0.00%)
388;Clorox Company;CLX;0.043592;  133.83;0.00;(0.00%)
389;Teleflex Incorporated;TFX;0.043338;  349.93;0.00;(0.00%)
390;FactSet Research Systems Inc.;FDS;0.043241;  439.15;0.00;(0.00%)
391;NVR Inc.;NVR;0.043154;  4,988.73;0.00;(0.00%)
392;Cardinal Health Inc.;CAH;0.04313;  57.29;0.00;(0.00%)
393;Brown & Brown Inc.;BRO;0.042483;  69.59;0.00;(0.00%)
394;Xylem Inc.;XYL;0.042416;  88.07;0.00;(0.00%)
395;AES Corporation;AES;0.041682;  23.69;0.00;(0.00%)
396;Celanese Corporation;CE;0.04154;  142.85;0.00;(0.00%)
397;EPAM Systems Inc.;EPAM;0.041493;  294.94;0.47;(0.16%)
398;Kellogg Company;K;0.041427;  60.76;0.00;(0.00%)
399;Conagra Brands Inc.;CAG;0.041147;  31.74;0.00;(0.00%)
400;Carnival Corporation;CCL;0.04085;  19.46;0.00;(0.00%)
401;Alliant Energy Corp;LNT;0.040768;  60.67;0.36;(0.60%)
402;Domino's Pizza Inc.;DPZ;0.040368;  417.95;2.29;(0.55%)
403;NortonLifeLock Inc.;NLOK;0.040269;  27.35;-0.10;(-0.36%)
404;IDEX Corporation;IEX;0.040194;  198.99;0.00;(0.00%)
405;Atmos Energy Corporation;ATO;0.03998;  112.73;0.00;(0.00%)
406;Western Digital Corporation;WDC;0.03998;  49.36;0.06;(0.12%)
407;Evergy Inc.;EVRG;0.039739;  64.77;0.00;(0.00%)
408;Packaging Corporation of America;PKG;0.039654;  156.47;0.00;(0.00%)
409;Live Nation Entertainment Inc.;LYV;0.03911;  112.99;0.01;(0.01%)
410;Leidos Holdings Inc.;LDOS;0.039054;  105.48;0.00;(0.00%)
411;Eastman Chemical Company;EMN;0.038933;  107.47;-0.43;(-0.40%)
412;Kimco Realty Corporation;KIM;0.038662;  23.85;-0.17;(-0.71%)
413;Iron Mountain Inc.;IRM;0.038484;  49.22;-0.25;(-0.51%)
414;Qorvo Inc.;QRVO;0.038386;  131.20;0.33;(0.25%)
415;APA Corp.;APA;0.038325;  39.14;0.03;(0.08%)
416;Interpublic Group of Companies Inc.;IPG;0.038315;  36.04;0.00;(0.00%)
417;Avery Dennison Corporation;AVY;0.037892;  171.12;0.00;(0.00%)
418;Charles River Laboratories International Inc.;CRL;0.037809;  286.77;0.00;(0.00%)
419;Masco Corporation;MAS;0.037744;  57.40;0.00;(0.00%)
420;Hormel Foods Corporation;HRL;0.037579;  49.26;0.00;(0.00%)
421;J.M. Smucker Company;SJM;0.037517;  128.07;0.00;(0.00%)
422;Incyte Corporation;INCY;0.037393;  75.20;0.00;(0.00%)
423;ABIOMED Inc.;ABMD;0.0373;  304.33;0.00;(0.00%)
424;C.H. Robinson Worldwide Inc.;CHRW;0.036625;  105.09;0.18;(0.17%)
425;Jack Henry & Associates Inc.;JKHY;0.036565;  185.51;0.00;(0.00%)
426;Howmet Aerospace Inc.;HWM;0.036048;  35.73;0.00;(0.00%)
427;MarketAxess Holdings Inc.;MKTX;0.035971;  353.84;0.00;(0.00%)
428;Host Hotels & Resorts Inc.;HST;0.035772;  19.06;0.03;(0.16%)
429;W. R. Berkley Corporation;WRB;0.035681;  96.00;0.00;(0.00%)
430;Advance Auto Parts Inc.;AAP;0.035679;  206.34;0.00;(0.00%)
431;United Airlines Holdings Inc.;UAL;0.035545;  42.35;0.00;(0.00%)
432;Robert Half International Inc.;RHI;0.035384;  120.35;0.00;(0.00%)
433;Loews Corporation;L;0.034834;  63.26;0.00;(0.00%)
434;Fox Corporation Class A;FOXA;0.034822;  40.98;0.11;(0.27%)
435;Bath & Body Works Inc.;BBWI;0.034465;  50.39;0.00;(0.00%)
436;Viatris Inc.;VTRS;0.034371;  10.61;-0.05;(-0.47%)
437;WestRock Company;WRK;0.033932;  47.58;0.00;(0.00%)
438;Comerica Incorporated;CMA;0.033909;  94.95;0.00;(0.00%)
439;LKQ Corporation;LKQ;0.033833;  46.75;0.00;(0.00%)
440;Cboe Global Markets Inc;CBOE;0.033518;  116.80;0.00;(0.00%)
441;Citrix Systems Inc.;CTXS;0.03349;  100.74;0.00;(0.00%)
442;Las Vegas Sands Corp.;LVS;0.033044;  39.09;0.13;(0.33%)
443;Bio-Rad Laboratories Inc. Class A;BIO;0.03301;  588.22;0.00;(0.00%)
444;Nordson Corporation;NDSN;0.032969;  230.97;0.00;(0.00%)
445;Henry Schein Inc.;HSIC;0.032384;  87.26;0.00;(0.00%)
446;F5 Inc.;FFIV;0.032189;  206.93;2.96;(1.45%)
447;PulteGroup Inc.;PHM;0.032084;  47.82;-0.61;(-1.26%)
448;Fortune Brands Home & Security Inc.;FBHS;0.031805;  86.93;0.00;(0.00%)
449;Whirlpool Corporation;WHR;0.031767;  194.72;0.00;(0.00%)
450;Brown-Forman Corporation Class B;BF.B;0.031488;  64.76;0.00;(0.00%)
451;NiSource Inc;NI;0.031361;  30.09;0.00;(0.00%)
452;PTC Inc.;PTC;0.031333;  111.48;0.06;(0.05%)
453;Hasbro Inc.;HAS;0.030828;  89.33;0.00;(0.00%)
454;Everest Re Group Ltd.;RE;0.030375;  286.66;0.00;(0.00%)
455;Snap-on Incorporated;SNA;0.030338;  213.99;0.00;(0.00%)
456;Juniper Networks Inc.;JNPR;0.030107;  35.50;0.19;(0.54%)
457;Lincoln National Corporation;LNC;0.029914;  66.05;0.00;(0.00%)
458;Zions Bancorporation N.A.;ZION;0.029271;  67.85;0.00;(0.00%)
459;Universal Health Services Inc. Class B;UHS;0.029167;  146.79;0.00;(0.00%)
460;American Airlines Group Inc.;AAL;0.028596;  16.73;-0.02;(-0.12%)
461;DENTSPLY SIRONA Inc.;XRAY;0.028465;  48.66;0.00;(0.00%)
462;Allegion PLC;ALLE;0.028233;  118.14;0.00;(0.00%)
463;Tapestry Inc.;TPR;0.028007;  38.41;0.00;(0.00%)
464;Regency Centers Corporation;REG;0.027541;  67.51;0.00;(0.00%)
465;Sealed Air Corporation;SEE;0.027359;  68.35;-0.01;(-0.01%)
466;Assurant Inc.;AIZ;0.026849;  176.42;0.00;(0.00%)
467;Lumen Technologies Inc.;LUMN;0.026656;  11.08;-0.01;(-0.09%)
468;Molson Coors Beverage Company Class B;TAP;0.026547;  52.96;0.00;(0.00%)
469;NRG Energy Inc.;NRG;0.025473;  38.00;0.09;(0.24%)
470;Pentair plc;PNR;0.025233;  57.22;0.00;(0.00%)
471;BorgWarner Inc.;BWA;0.024672;  38.62;0.00;(0.00%)
472;Globe Life Inc.;GL;0.024663;  98.23;0.00;(0.00%)
473;A. O. Smith Corporation;AOS;0.024204;  68.05;0.00;(0.00%)
474;People's United Financial Inc.;PBCT;0.024156;  21.08;0.00;(0.00%)
475;Ceridian HCM Holding Inc.;CDAY;0.023765;  70.50;0.00;(0.00%)
476;News Corporation Class A;NWSA;0.0236;  22.39;0.25;(1.13%)
477;Organon & Co.;OGN;0.023379;  35.20;0.12;(0.34%)
478;Campbell Soup Company;CPB;0.023345;  42.43;0.00;(0.00%)
479;Newell Brands Inc;NWL;0.02309;  22.43;0.04;(0.18%)
480;Nielsen Holdings Plc;NLSN;0.023038;  24.41;-0.03;(-0.12%)
481;Pinnacle West Capital Corporation;PNW;0.022539;  72.00;-0.97;(-1.33%)
482;Federal Realty Investment Trust;FRT;0.022028;  117.00;-0.38;(-0.32%)
483;DXC Technology Co.;DXC;0.021952;  33.20;0.00;(0.00%)
484;Wynn Resorts Limited;WYNN;0.021784;  79.71;0.06;(0.08%)
485;Mohawk Industries Inc.;MHK;0.021706;  144.51;0.00;(0.00%)
486;Huntington Ingalls Industries Inc.;HII;0.021159;  194.00;0.31;(0.16%)
487;DISH Network Corporation Class A;DISH;0.020936;  31.65;0.00;(0.00%)
488;Lamb Weston Holdings Inc.;LW;0.020733;  54.58;0.00;(0.00%)
489;Franklin Resources Inc.;BEN;0.020517;  27.92;0.00;(0.00%)
490;Rollins Inc.;ROL;0.020411;  34.20;0.00;(0.00%)
491;DaVita Inc.;DVA;0.020269;  113.59;0.00;(0.00%)
492;Discovery Inc. Class C;DISCK;0.020095;  26.37;0.04;(0.15%)
493;Penn National Gaming Inc.;PENN;0.019969;  44.84;-0.02;(-0.04%)
494;Invesco Ltd.;IVZ;0.019431;  21.40;0.00;(0.00%)
495;Norwegian Cruise Line Holdings Ltd.;NCLH;0.019273;  19.92;0.02;(0.10%)
496;Vornado Realty Trust;VNO;0.019176;  46.13;0.00;(0.00%)
497;Alaska Air Group Inc.;ALK;0.018154;  55.19;0.00;(0.00%)
498;PVH Corp.;PVH;0.015684;  83.73;0.00;(0.00%)
499;Ralph Lauren Corporation Class A;RL;0.015467;  121.40;0.00;(0.00%)
500;Fox Corporation Class B;FOX;0.014682;  37.75;0.07;(0.19%)
501;IPG Photonics Corporation;IPGP;0.011278;  119.00;0.00;(0.00%)
502;Discovery Inc. Class A;DISCA;0.011207;  26.27;0.01;(0.04%)
503;Under Armour Inc. Class A;UAA;0.00873;  17.50;0.00;(0.00%)
504;Under Armour Inc. Class C;UA;0.008136;  15.62;0.01;(0.06%)
505;News Corporation Class B;NWS;0.00751;  22.43;0.00;(0.00%)
